station_complex,ridership,percentage
1 Av (L),"5,750,169",0.494109264
103 St (1),"2,888,321",0.248192038
103 St (6),"2,602,422",0.223624874
"103 St (C,B)","1,030,864",0.088581649
103 St-Corona Plaza (7),"6,324,650",0.543474141
104 St (A),"369,754",0.031772784
"104 St (J,Z)","593,933",0.051036378
110 St (6),"2,103,484",0.180751371
111 St (7),"2,078,552",0.178608976
111 St (A),"474,891",0.040807156
111 St (J),"456,816",0.03925398
"116 St (2,3)","2,029,638",0.17440582
116 St (6),"2,763,998",0.237509022
"116 St (C,B)","1,471,960",0.126484817
116 St-Columbia University (1),"3,410,018",0.293021211
125 St (1),"2,003,146",0.172129375
"125 St (2,3)","2,694,595",0.231545256
"125 St (4,5,6)","4,929,987",0.423631418
"125 St (A,C,B,D)","5,617,560",0.482714236
"135 St (2,3)","2,222,694",0.190995029
"135 St (C,B)","1,095,045",0.094096692
137 St-City College (1),"2,772,394",0.238230487
"138 St-Grand Concourse (4,5)","782,046",0.067200838
"14 St (A,C,E)/8 Av (L)","10,961,907",0.941951411
"14 St (F,M,1,2,3)/6 Av (L)","11,454,879",0.984312258
"14 St-Union Sq (L,N,Q,R,W,4,5,6)","21,602,127",1.856260412
145 St (1),"2,102,751",0.180688385
145 St (3),"602,131",0.051740828
"145 St (A,C,B,D)","4,768,624",0.409765573
"149 St-Grand Concourse (2,4,5)","2,110,630",0.181365424
"15 St-Prospect Park (F,G)","1,401,935",0.120467602
"155 St (B,D)","587,243",0.050461509
155 St (C),"542,029",0.046576292
157 St (1),"2,288,327",0.196634842
"161 St-Yankee Stadium (B,D,4)","5,352,428",0.459931571
163 St-Amsterdam Av (C),"844,396",0.072558543
167 St (4),"1,893,989",0.162749566
"167 St (B,D)","1,414,572",0.121553493
"168 St (A,C,1)","5,223,036",0.448812978
169 St (F),"1,641,555",0.141058034
170 St (4),"1,453,688",0.124914713
"170 St (B,D)","1,001,411",0.086050767
"174 St (2,5)","1,123,353",0.096529184
"174-175 Sts (B,D)","777,095",0.066775401
175 St (A),"2,247,399",0.193117918
176 St (4),"1,039,330",0.089309128
18 Av (F),"724,602",0.062264702
18 Av (N),"1,188,877",0.10215963
18 St (1),"1,812,859",0.155778104
181 St (1),"2,414,013",0.207434979
181 St (A),"1,759,854",0.15122341
"182-183 Sts (B,D)","819,347",0.070406095
183 St (4),"1,185,286",0.101851057
190 St (A),"952,967",0.081887997
191 St (1),"1,685,601",0.144842885
2 Av (F),"4,199,403",0.360852686
207 St (1),"1,381,421",0.118704844
21 St (G),"455,752",0.039162551
21 St-Queensbridge (F),"1,590,848",0.136700806
215 St (1),"481,121",0.041342497
"219 St (2,5)","494,734",0.042512255
"225 St (2,5)","594,383",0.051075046
23 St (1),"3,143,575",0.270125892
23 St (6),"5,412,509",0.465094302
"23 St (C,E)","4,370,835",0.375583755
"23 St (F,M)","5,415,255",0.465330265
"23 St (R,W)","4,251,347",0.365316209
231 St (1),"1,905,218",0.163714469
"233 St (2,5)","847,952",0.072864109
238 St (1),"971,583",0.083487661
25 St (R),"821,927",0.070627793
28 St (1),"3,016,673",0.259221264
28 St (6),"4,369,919",0.375505044
"28 St (R,W)","2,701,716",0.23215716
3 Av (L),"1,569,617",0.134876436
3 Av-138 St (6),"1,753,790",0.150702334
"3 Av-149 St (2,5)","3,353,126",0.288132509
"30 Av (N,W)","3,009,491",0.258604118
33 St (6),"5,649,585",0.485466129
33 St-Rawson St (7),"1,719,458",0.147752201
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)","23,650,045",2.032237023
34 St-Hudson Yards (7),"5,528,199",0.475035489
"34 St-Penn Station (1,2,3)","15,418,725",1.324923644
"34 St-Penn Station (A,C,E)","17,123,122",1.47138166
"36 Av (N,W)","1,467,655",0.12611489
"36 St (D,N,R)","3,478,796",0.298931272
"36 St (M,R)","789,385",0.067831474
"39 Av-Dutch Kills (N,W)","815,912",0.070110927
"4 Av (F,G)/9 St (R)","2,862,257",0.245952371
40 St-Lowery St (7),"2,191,489",0.188313599
45 St (R),"1,860,881",0.159904612
"46 St (M,R)","1,668,202",0.143347798
46 St-Bliss St (7),"2,903,795",0.249521712
"47-50 Sts-Rockefeller Ctr (B,D,F,M)","11,344,830",0.9748558
"49 St (N,R,W)","5,523,914",0.474667281
