hour,station_complex,ridership
0,"Gun Hill Rd (2,5)",25.357142857142858
0,Gun Hill Rd (5),5.266666666666667
1,"Gun Hill Rd (2,5)",9.642857142857142
1,Gun Hill Rd (5),3.1333333333333333
2,"Gun Hill Rd (2,5)",9.357142857142858
2,Gun Hill Rd (5),3.6
3,"Gun Hill Rd (2,5)",18.428571428571427
3,Gun Hill Rd (5),10.266666666666667
4,"Gun Hill Rd (2,5)",61.642857142857146
4,Gun Hill Rd (5),31.466666666666665
5,"Gun Hill Rd (2,5)",185.85714285714286
5,Gun Hill Rd (5),221.375
6,"Gun Hill Rd (2,5)",379.07142857142856
6,Gun Hill Rd (5),426.25
7,"Gun Hill Rd (2,5)",477.85714285714283
7,Gun Hill Rd (5),579.375
8,"Gun Hill Rd (2,5)",341.2857142857143
8,Gun Hill Rd (5),386.0625
9,"Gun Hill Rd (2,5)",206.42857142857142
9,Gun Hill Rd (5),187.0
10,"Gun Hill Rd (2,5)",163.35714285714286
10,Gun Hill Rd (5),134.75
11,"Gun Hill Rd (2,5)",151.21428571428572
11,Gun Hill Rd (5),107.875
12,"Gun Hill Rd (2,5)",163.0
12,Gun Hill Rd (5),120.125
13,"Gun Hill Rd (2,5)",197.78571428571428
13,Gun Hill Rd (5),132.9375
14,"Gun Hill Rd (2,5)",268.64285714285717
14,Gun Hill Rd (5),133.5
15,"Gun Hill Rd (2,5)",261.85714285714283
15,Gun Hill Rd (5),124.875
16,"Gun Hill Rd (2,5)",224.28571428571428
16,Gun Hill Rd (5),113.4375
17,"Gun Hill Rd (2,5)",201.57142857142858
17,Gun Hill Rd (5),111.125
18,"Gun Hill Rd (2,5)",141.64285714285714
18,Gun Hill Rd (5),89.3125
19,"Gun Hill Rd (2,5)",103.35714285714286
19,Gun Hill Rd (5),58.875
20,"Gun Hill Rd (2,5)",79.85714285714286
20,Gun Hill Rd (5),41.625
21,"Gun Hill Rd (2,5)",71.64285714285714
21,Gun Hill Rd (5),28.3125
22,"Gun Hill Rd (2,5)",53.142857142857146
22,Gun Hill Rd (5),22.125
23,"Gun Hill Rd (2,5)",46.214285714285715
23,Gun Hill Rd (5),13.25
